"year","month","week","spp_1","spp_2","spp_3","spp_4"
22,"5","22",0.000595454779293826,0.912613400664344,0.0530378133060989,0.0337533312502633
22,"6","22",0.000376288816481305,0.917809232766525,0.056726523056661,0.0250879553603328
22,"6","23",0.000399647983659087,0.919529479524725,0.0549022709076697,0.0251686015839465
22,"6","24",0.000404064354895298,0.921267767956885,0.0531621385313126,0.0251660291569066
22,"6","25",0.000442829991862706,0.921259676672202,0.0515069554327275,0.0267905379032078
22,"6","26",0.000410177578286321,0.924680545466391,0.0500813649837365,0.0248279119715861
22,"6","27",0.000428875668400186,0.926664436274402,0.0483388423320789,0.0245678457251189
22,"7","27",0.00037191316882099,0.93068378967305,0.0437720311606634,0.0251722659974657
22,"7","28",0.000392510307812722,0.930801648131441,0.0441701092701619,0.0246357322905846
22,"7","29",0.000399818650471981,0.931811361851274,0.0435305362773214,0.0242582832209326
22,"7","30",0.00039302590147317,0.934381621948143,0.0411728767858692,0.0240524753645145
22,"7","31",0.000410461250093458,0.935712366062716,0.0402108659041179,0.0236663067830731
22,"8","31",0.000401038916434697,0.934361432097864,0.0417406381313281,0.0234968908543729
22,"8","32",0.000409219131333719,0.936041158450866,0.0403823225124857,0.023167299905315
22,"8","33",0.000406204906124947,0.937810157054927,0.0389759749259813,0.0228076631129667
22,"8","34",0.000401761021018564,0.939440174067664,0.0377156464968093,0.022442418414508
22,"8","35",0.000401773192484281,0.940969231690951,0.0365526538250996,0.0220763412914653
22,"9","35",0.000373342760100614,0.940963285827344,0.0365780602508436,0.0220853111617117
22,"9","36",0.00037306327271461,0.941789711295928,0.0360719581398991,0.0217652672914585
22,"9","37",0.000383343876312271,0.943633991228155,0.0346133380275938,0.0213693268679389
22,"9","38",0.000376010442953951,0.944830113825938,0.0337645608026437,0.0210293149284648
22,"9","39",0.00036925839993241,0.945984700964231,0.0329602968536664,0.0206857437821705
22,"9","40",0.000374728489243839,0.946967498434607,0.0322972451130835,0.0203605279630657
23,"1","1",0.000326072881849529,0.953266065497591,0.0244439974415322,0.0219638641790268
23,"1","2",0.00052140068940883,0.962124354769,0.0174742644604611,0.0198799800811303
23,"1","3",0.000389935013104531,0.969923289356313,0.0118923753868859,0.0177944002436965
23,"1","4",0.000415670207743135,0.96897636169781,0.0104554996704999,0.0201524684239466
23,"1","5",0.00080981082794612,0.962619124931747,0.0136053543008193,0.022965709939488
23,"10","40",0.000403871755804108,0.948273760316758,0.0311905664992036,0.0201318014282344
23,"10","41",0.000374369610780822,0.949370081886535,0.0304830135937116,0.0197725349089721
23,"10","42",0.000385635297464074,0.9497636900419,0.0302558195881604,0.0195948550724755
23,"10","43",0.000375968486777411,0.950376387879693,0.0299227323016491,0.0193249113318805
23,"10","44",0.000354124623040294,0.951079895051604,0.0295791529657982,0.0189868273595573
23,"11","44",0.00031804011252286,0.951424984290128,0.0293360702499378,0.0189209053474116
23,"11","45",0.000315565262392438,0.951690602819311,0.029264742364975,0.0187290895533216
23,"11","46",0.000320428022415838,0.951851681903359,0.0291826658254444,0.0186452242487808
23,"11","47",0.000295347753786258,0.952135682487381,0.0290980652030836,0.0184709045557496
23,"11","48",0.000298607973354799,0.952201957114297,0.0290779791851091,0.0184214557272388
23,"12","48",0.000301777702665429,0.952118212786861,0.0290487029028794,0.0185313066075943
23,"12","49",0.000346958141917371,0.951391499449824,0.0296040305012086,0.01865751190705
23,"12","50",0.000332719701622617,0.951521426262729,0.0295464640583154,0.0185993899773326
23,"12","51",0.000326192426863693,0.951473882998758,0.0296151625075178,0.018584762066861
23,"12","52",0.000316225137869741,0.951680994835921,0.0294681771359965,0.0185346028902131
23,"2","5",0.000495479739788414,0.963661823550765,0.00726892971430105,0.0285737669951459
23,"2","6",0.00049602824083603,0.964449580043855,0.00706489089196125,0.0279895008233479
23,"2","7",0.000585312923300789,0.962143527928355,0.0072778896715873,0.0299932694767569
23,"2","8",0.00055036432888141,0.961406726623132,0.00743569700043654,0.0306072120475503
23,"2","9",0.000560994401179775,0.958595929960113,0.00728724023036449,0.0335558354083426
23,"3","10",0.00058925225676455,0.961216268859813,0.00823273342670909,0.0299617454567136
23,"3","11",0.000643359753966193,0.958338529809267,0.00921426370880589,0.0318038467279608
23,"3","12",0.000624838678904846,0.955897766473402,0.00960605320654756,0.0338713416411458
23,"3","13",0.000612209749943181,0.955296940135743,0.0102769782988288,0.0338138718154851
23,"3","14",0.000699843032710684,0.951020350284787,0.011780532550985,0.0364992741315176
23,"3","9",0.000501870984692459,0.96404993888069,0.00738953557926187,0.0280586545553556
23,"4","14",0.000691816990405314,0.952604543009094,0.0124892204888417,0.0342144195116591
23,"4","15",0.000603954564734642,0.951996119723403,0.0139555262834181,0.033444399428444
23,"4","16",0.000982848305254168,0.946481806487416,0.0188613350947687,0.0336740101125614
23,"4","17",0.000828819771636431,0.929604786279673,0.0439528088399293,0.0256135851087616
23,"4","18",0.000651826947101625,0.932460533360731,0.0434464787983086,0.0234411608938586
23,"5","18",0.000591196687215389,0.918990003870383,0.0571634813554411,0.0232553180869603
23,"5","19",0.000635624182780292,0.91887035066209,0.0535864873920976,0.0269075377630316
23,"5","20",0.000565192841037025,0.924013482494936,0.0494933850441694,0.0259279396198572
