"scenario","metric","pop","before","after","diff","timescale","basis","data_type","resolution"
35,"Rec","spp_1",60113.3035434758,56441.9644290544,-6.10736542164275,"yearly","high_pop","survey",10
38,"Rec","spp_1",60113.3035434758,56475.0620884372,-6.05230662861061,"monthly","high_pop","real_pop",10
39,"Rec","spp_1",60113.3035434758,56475.0620884372,-6.05230662861061,"yearly","high_pop","real_pop",10
6,"Catch","spp_1",39277.4551209366,36907.8467847925,-6.03299864731058,"yearly","high_ratio","commercial",1
7,"Catch","spp_4",13011.1905015701,12228.7750373051,-6.01340410910591,"yearly","high_pop","survey",1
44,"Bio","spp_2",216238.443821354,203373.521089507,-5.94941514769482,"monthly","high_pop","commercial",20
48,"Catch","spp_1",39277.4551209366,36948.9083545383,-5.92845630967866,"yearly","high_ratio","commercial",20
34,"Rec","spp_1",60113.3035434758,56686.2021151359,-5.70106985695987,"yearly","high_ratio","commercial",10
7,"Catch","spp_1",39277.4551209366,37076.203733197,-5.60436357437588,"yearly","high_pop","survey",1
19,"F","spp_4",0.466133793069757,0.440118862301711,-5.58100081024435,"monthly","high_ratio","commercial",5
19,"Catch","spp_1",39277.4551209366,37093.0386676614,-5.5615020029922,"monthly","high_ratio","commercial",5
46,"Bio","spp_4",26173.2387640711,24735.0570696125,-5.49485567079643,"weekly","high_ratio","commercial",20
20,"Bio","spp_2",216238.443821354,204395.815680157,-5.47665250078317,"yearly","high_ratio","commercial",5
22,"F","spp_3",1.08532310328682,1.02599558629169,-5.46634608767293,"yearly","high_ratio","survey",5
21,"Catch","spp_1",39277.4551209366,37133.0030741103,-5.45975303191984,"yearly","high_pop","survey",5
36,"Bio","spp_1",82586.6752396837,78083.1610568988,-5.45307601948468,"yearly","high_ratio","survey",10
40,"Bio","spp_1",82586.6752396837,78083.1610568988,-5.45307601948468,"weekly","high_ratio","real_pop",10
41,"Bio","spp_1",82586.6752396837,78083.1610568988,-5.45307601948468,"monthly","high_ratio","real_pop",10
42,"Bio","spp_1",82586.6752396837,78083.1610568988,-5.45307601948468,"yearly","high_ratio","real_pop",10
26,"Bio","spp_1",82586.6752396837,78130.8016551156,-5.39539044480997,"weekly","high_ratio","real_pop",5
27,"Bio","spp_1",82586.6752396837,78130.8016551156,-5.39539044480997,"monthly","high_ratio","real_pop",5
28,"Bio","spp_1",82586.6752396837,78130.8016551156,-5.39539044480997,"yearly","high_ratio","real_pop",5
43,"Bio","spp_2",216238.443821354,204661.007921117,-5.3540136969359,"weekly","high_pop","commercial",20
